Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-13197.8	-13150.9	-46.8514	0.315935	0.278703	0.130627	0.346962	0.352239	0.116187	0.434123	0.204712	0.244905	0.196719	0.207696	0.216684	0.128052	0.152571	0.138608	0.154048	0.171348	0.243673	0.117144	0.166825	0.126573	0.240557	0.161871	0.161682	0.0690479	0.18493	0.0632313	0.155805	0.0429564	0.0528108	0.0215751	0.180037	0.167758	0.0468883	0.304842	0.0462607	0.0888302	0.0181614	0.0388298	0.0201027	0.046215	0.115151	0.0217387	0.0824879	0.0342918	0.193202	0.0783504	0.00934638	0.65429	0.03052	0.00667666	0.116935	0.621618	3.25477	0.349608	0.33811	0.108611	0.203671	6.46017
210	-13190.5	-13143.3	-47.1988	0.317408	0.330756	0.0827284	0.331818	0.352239	0.096275	0.351224	0.241399	0.263825	0.21726	0.278104	0.296793	0.112583	0.210691	0.189829	0.172016	0.197437	0.283192	0.10609	0.137094	0.132444	0.214741	0.128338	0.125091	0.0535487	0.219335	0.0755658	0.106839	0.0372158	0.0420843	0.0628818	0.170515	0.22014	0.0323521	0.209903	0.0650152	0.0561266	0.021554	0.0650333	0.0201881	0.0613173	0.0735238	0.0223626	0.027435	0.038049	0.21437	0.0711906	0.0103704	0.617878	0.0481416	0.00681324	0.118087	0.623911	3.25119	0.349608	0.33811	0.108611	0.203671	6.4949
220	-13169.8	-13128.1	-41.7871	0.29659	0.354189	0.107972	0.299775	0.238858	0.0857981	0.293513	0.221019	0.302372	0.210544	0.208466	0.185452	0.146281	0.145874	0.14162	0.136736	0.173185	0.224925	0.108886	0.182965	0.106515	0.240698	0.163287	0.104044	0.0801345	0.205391	0.0335114	0.135856	0.0256688	0.0660867	0.0559351	0.13682	0.202508	0.0318944	0.204082	0.0102846	0.0497248	0.0300473	0.0356433	0.02246	0.0654425	0.104086	0.0363087	0.0389753	0.0389727	0.19865	0.067276	0.012913	0.632878	0.0493102	0.0050228	0.101845	0.590032	3.3031	0.348848	0.337398	0.110526	0.203228	5.95383
230	-13159.7	-13121.9	-37.8233	0.333985	0.299709	0.0476369	0.359179	0.232169	0.0860077	0.267639	0.16266	0.199083	0.200364	0.168181	0.210206	0.13409	0.164659	0.120138	0.13209	0.144714	0.243006	0.0917194	0.115048	0.1489	0.174768	0.124374	0.095016	0.0510473	0.172899	0.032212	0.151358	0.0407601	0.0624138	0.042102	0.135148	0.164157	0.029585	0.234224	0.0264329	0.0234262	0.086996	0.0848155	0.037143	0.0662772	0.106471	0.0276139	0.0608307	0.0377068	0.22468	0.0650908	0.0124936	0.612321	0.0477085	0.00845268	0.131062	0.648702	3.21178	0.348848	0.337398	0.110526	0.203228	5.55727
240	-13159.3	-13120.4	-38.8738	0.309658	0.312842	0.0561284	0.277808	0.260752	0.0896919	0.293919	0.174509	0.199083	0.260143	0.211563	0.221304	0.133476	0.199732	0.144396	0.12805	0.145483	0.237729	0.0857863	0.160204	0.0979524	0.191748	0.108633	0.107382	0.0355114	0.210113	0.0252917	0.119513	0.0387767	0.0500329	0.0845189	0.155286	0.126238	0.0234701	0.205717	0.0145076	0.0390617	0.0683323	0.0610165	0.0383739	0.0154013	0.149228	0.0225098	0.0812276	0.0457231	0.235955	0.0669531	0.0108873	0.599499	0.0409826	0.00611141	0.112026	0.611671	3.27019	0.348848	0.337398	0.110526	0.203228	5.66244
250	-13162.9	-13122.5	-40.3102	0.307824	0.290172	0.0472599	0.325926	0.186523	0.0890685	0.304602	0.211479	0.31605	0.246589	0.210232	0.217851	0.12335	0.197895	0.120872	0.169883	0.200216	0.252585	0.116184	0.121505	0.120119	0.23234	0.102083	0.0896763	0.062132	0.124021	0.0262843	0.107658	0.022013	0.0509515	0.0712126	0.123306	0.157315	0.0210523	0.201008	0.0248044	0.0418453	0.0979172	0.0709694	0.0144553	0.0309951	0.174162	0.0258703	0.0656522	0.0457282	0.235981	0.0669605	0.0126862	0.599565	0.0390791	0.00595142	0.110594	0.608711	3.27474	0.348848	0.337398	0.110526	0.203228	5.80609
260	-13163.1	-13122.8	-40.345	0.298668	0.290457	0.0656228	0.283052	0.269314	0.0933511	0.276833	0.162877	0.246602	0.185996	0.254024	0.187754	0.126779	0.206491	0.161486	0.130455	0.178592	0.247252	0.0901585	0.159382	0.101782	0.166614	0.176306	0.10809	0.0484556	0.180612	0.0280233	0.134096	0.0160133	0.0416503	0.0402394	0.143092	0.193298	0.0131439	0.255511	0.0357928	0.0322734	0.128685	0.0583099	0.024275	0.0623139	0.139458	0.0244221	0.0406803	0.048237	0.204215	0.0735843	0.0133822	0.632459	0.028122	0.00518791	0.10346	0.59356	3.29779	0.348182	0.336754	0.110316	0.204748	5.80961
270	-13164.9	-13122.8	-42.0036	0.310401	0.291015	0.095707	0.318829	0.235196	0.106202	0.284642	0.204491	0.242484	0.22797	0.19508	0.219622	0.132207	0.186109	0.110613	0.156845	0.234342	0.241283	0.108818	0.107342	0.137297	0.244476	0.176306	0.0808263	0.0673529	0.195809	0.0368525	0.197534	0.015883	0.0618367	0.0352931	0.212648	0.132715	0.0360459	0.210127	0.0263131	0.0254954	0.108888	0.0763226	0.0190748	0.0427892	0.073836	0.0179383	0.0449563	0.0486185	0.205831	0.0666798	0.00510927	0.637462	0.0363001	0.00617688	0.112607	0.612864	3.26835	0.348182	0.336754	0.110316	0.204748	5.97542
280	-13158.9	-13117.5	-41.3321	0.308208	0.321697	0.0710735	0.324333	0.218042	0.0823042	0.301485	0.217334	0.237713	0.168039	0.233332	0.245483	0.132036	0.190908	0.129497	0.176543	0.197667	0.246135	0.100075	0.146961	0.148722	0.181736	0.132698	0.0841995	0.120398	0.194802	0.0290862	0.123388	0.0280068	0.069663	0.0298396	0.112105	0.0929136	0.0327604	0.204305	0.0156558	0.0526195	0.128932	0.0598797	0.0563252	0.0640531	0.130887	0.0239752	0.0506613	0.048972	0.20648	0.0570088	0.011261	0.639472	0.0368065	0.00598473	0.110894	0.609333	3.27379	0.348182	0.336754	0.110316	0.204748	5.90827
290	-13149.7	-13102.3	-47.3544	0.297127	0.32806	0.0596887	0.336424	0.299895	0.0821175	0.282227	0.191689	0.196943	0.228744	0.274164	0.243609	0.172035	0.251479	0.141608	0.193975	0.245153	0.294026	0.102488	0.148745	0.146111	0.226607	0.143244	0.112228	0.129081	0.207621	0.0666197	0.203911	0.0230904	0.0577779	0.0700716	0.135399	0.10694	0.0261033	0.249665	0.0344805	0.0568816	0.0707336	0.0601407	0.0510832	0.0747707	0.0822421	0.0462003	0.0564886	0.0379291	0.197887	0.0590565	0.0124693	0.652198	0.0404597	0.00506517	0.102262	0.590947	3.30173	0.350752	0.335427	0.109881	0.20394	6.51056
