Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-33.772	0	-33.772	10.0808	0.0234067	0.369651	0.310031	0.0182209	0.0705274	0.0212906	0.0267754	0.339201	0.0155143	0.00615205	0.127523	0.310017	0.0648911	0.0702216	0.322275	0.0028897	0.0222225	0.142841	0.169673	0.368365	0.17602	0.00246312	0.275439	0.171294	0.00696623	0.108647	0.189311	0.0717952	0.0103141	0.0607526	0.0780876	0.114927	0.258087	0.0158537	0.0477634	0.00189988	0.0708809	0.135509	0.049813	0.130271	0.176442	0.0281093	0.121069	0.37238	0.441138	0.0529008	0.00054585	0.000536493	0.132499	0.632801	0.871503	1.07217	1.42352	0.0392639	0.388371	0.385657	0.186708	5.1034
210	-35.6425	0	-35.6425	30.5211	0.010375	0.263053	0.161214	0.0148405	0.0853635	0.0442737	0.0144137	0.112819	0.0170881	0.0169528	0.0853757	0.203229	0.0622806	0.0537378	0.39929	0.00359614	0.0628176	0.0354075	0.169043	0.413665	0.26493	0.00742488	0.217408	0.363193	0.0146675	0.0650319	0.279613	0.0344571	0.0222044	0.0416633	0.0477296	0.109547	0.232275	0.0247752	0.0382817	0.0029159	0.0922905	0.146048	0.0348552	0.260723	0.232023	0.0359419	0.391411	0.24762	0.624591	0.00263479	3.71603e-06	0.000846288	0.124304	0.780212	0.932253	1.04906	1.23847	0.0184537	0.0181891	0.00234343	0.961014	5.18825
220	-32.806	0	-32.806	16.7069	0.0147098	0.34754	0.0607077	0.0295222	0.0393575	0.0786163	0.0418163	0.066697	0.0408487	0.110827	0.33726	0.0787401	0.0403136	0.127056	0.127846	0.0107146	0.0453108	0.0384847	0.147066	0.165853	0.2246	0.0191556	0.212631	0.11914	0.026968	0.0119326	0.346143	0.0909158	0.0462224	0.0196325	0.128014	0.14886	0.186907	0.049087	0.0294299	0.00515853	0.142108	0.206663	0.0441118	0.136279	0.151231	0.142601	0.536596	0.0236262	0.0809601	0.00205889	1.59506e-07	0.000101103	0.893254	0.708399	0.90443	1.06149	1.32568	0.0280379	0.466215	0.00961932	0.496128	4.97368
230	-28.5862	0	-28.5862	34.8619	0.00394107	0.0855116	0.0639953	0.022778	0.0205368	0.0955874	0.0226457	0.0525957	0.00983668	0.0690246	0.183566	0.181593	0.0146752	0.175119	0.12696	0.00852565	0.0462748	0.04646	0.188743	0.0908299	0.308866	0.0305588	0.0523648	0.232253	0.0199353	0.0114147	0.252482	0.110964	0.0525278	0.00962461	0.15907	0.178923	0.219057	0.0624361	0.108183	0.00220808	0.0288731	0.27129	0.0265627	0.205799	0.151331	0.251715	0.205272	0.0463326	0.141455	0.0263038	5.33264e-06	0.000296992	0.785606	0.793679	0.937129	1.04651	1.22269	0.0344398	0.28944	0.0700723	0.606048	4.46091
240	-41.7184	0	-41.7184	40.3869	0.00555954	0.104428	0.212525	0.0380587	0.371846	0.0469174	0.091913	0.0671017	0.0186912	0.0300871	0.301255	0.283168	0.0185963	0.28839	0.139004	0.0374435	0.0483993	0.176131	0.190693	0.183243	0.135848	0.218037	0.0610798	0.191259	0.0253711	0.00727416	0.252671	0.162083	0.178324	0.252552	0.225567	0.0503642	0.142027	0.110428	0.102627	0.00372824	0.057115	0.079796	0.0168875	0.137948	0.276501	0.198639	0.206934	0.00927073	0.643185	0.117274	0.000496403	0.131809	0.0979646	0.807675	0.942087	1.04378	1.20645	0.00598113	0.472014	0.242082	0.279923	5.74651
250	-44.763	0	-44.763	14.575	0.00277211	0.0899484	0.221031	0.106927	0.332813	0.043182	0.178147	0.131738	0.0219914	0.0343165	0.262499	0.144974	0.0268884	0.199618	0.154724	0.110787	0.0792817	0.458737	0.214741	0.133423	0.126839	0.192606	0.13189	0.120013	0.0309534	0.00839402	0.28846	0.24577	0.164963	0.507851	0.214825	0.119417	0.123855	0.0721121	0.0454368	0.0122915	0.0900537	0.0565169	0.00498671	0.156872	0.186327	0.179877	0.151186	0.0116262	0.538221	0.0450431	5.69286e-05	0.15138	0.253673	0.689442	0.896543	1.06442	1.3496	0.00335184	0.679272	0.0821843	0.235191	6.18003
260	-37.8661	0	-37.8661	12.0824	0.000713905	0.190043	0.124251	0.526221	0.0717897	0.0419756	0.0737605	0.0218292	0.026865	0.0183614	0.0869792	0.689738	0.0504052	0.117331	0.161835	0.12002	0.0329496	0.15975	0.0887544	0.0642443	0.112238	0.16275	0.0676606	0.0547273	0.0268176	0.0172038	0.181756	0.225546	0.16912	0.330069	0.209986	0.107088	0.29488	0.0539854	0.0434984	0.0181309	0.0611855	0.0533507	0.021587	0.098701	0.233058	0.233859	0.0577875	0.0155709	0.0753621	0.00489054	0.000243198	0.335708	0.568225	0.661641	0.884537	1.06842	1.38541	0.000890428	0.219284	0.0390303	0.740795	5.5028
270	-33.3995	0	-33.3995	69.7224	0.000956248	0.356854	0.0295495	0.200023	0.0464636	0.0262933	0.107873	0.0319393	0.0700702	0.00895874	0.123016	0.362689	0.0482895	0.161149	0.0866399	0.139214	0.0634484	0.045656	0.193627	0.171761	0.0702097	0.279295	0.0650563	0.118915	0.0143222	0.061678	0.166812	0.152759	0.206271	0.0518332	0.180053	0.143566	0.172845	0.0612756	0.028444	0.0126292	0.0477903	0.0596693	0.0109093	0.0657579	0.0903142	0.137499	0.295574	0.0167002	0.00431117	0.00450874	0.000420203	0.246084	0.727976	0.852142	0.957128	1.03468	1.15605	0.00445431	0.775677	0.0708571	0.149012	4.76795
280	-27.2438	0	-27.2438	17.6654	0.0011683	0.206349	0.0306557	0.0570904	0.182789	0.0522881	0.15809	0.0215623	0.0976916	0.0115093	0.0771809	0.235836	0.056753	0.223207	0.0562506	0.0397059	0.111731	0.0336782	0.158365	0.357546	0.0399583	0.10372	0.0390623	0.109039	0.11039	0.0873765	0.144891	0.31146	0.220006	0.0509866	0.0549898	0.0272935	0.138804	0.104176	0.0289501	0.0722006	0.176195	0.061845	0.0190754	0.0389236	0.0678056	0.169311	0.06675	0.00261756	9.90311e-05	0.000602367	2.00049e-05	0.152308	0.844353	0.715844	0.907463	1.0603	1.31639	0.00185456	0.0743822	0.819167	0.104596	4.41266
290	-36.3468	0	-36.3468	15.7042	0.000565514	0.277012	0.0546747	0.0325658	0.215724	0.023426	0.116829	0.0164944	0.130497	0.0179242	0.062913	0.104194	0.072597	0.271973	0.146167	0.0286783	0.034286	0.0760055	0.127956	0.124785	0.0793766	0.0347148	0.0136033	0.301316	0.396891	0.3147	0.0876761	0.296707	0.114935	0.0427524	0.102455	0.0564924	0.235765	0.129967	0.0313495	0.147618	0.069254	0.197944	0.00930282	0.0278021	0.081307	0.530536	0.0950345	0.00185417	0.000154721	1.43505e-05	2.37027e-06	0.154916	0.843058	0.699935	0.900938	1.06282	1.33631	6.98272e-05	0.0593648	0.760591	0.179974	5.33277
