Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15731.1	-15715.5	-15.6182	0.0870619	0.105749	0.0777185	0.111924	0.0837428	0.079223	0.113202	0.165338	0.111447	0.101008	0.0713186	0.0850267	0.0995525	0.0740426	0.0880872	0.124131	0.0643754	0.0569783	0.0944507	0.131151	0.137585	0.0946326	0.123055	0.0503945	0.0639291	0.0277654	0.023948	0.0264515	0.0520345	0.0173218	0.0647996	0.0383337	0.0299959	0.0334248	0.00700568	0.0412996	0.0176328	0.0351174	0.0258017	0.0488924	0.0367991	0.0288947	0.0294303	2.98007
210	-15739.9	-15723.3	-16.564	0.098866	0.135302	0.073509	0.10444	0.0872985	0.0654537	0.125839	0.17749	0.118233	0.106608	0.0824656	0.0930454	0.0818649	0.0931155	0.0860029	0.126963	0.054166	0.0960513	0.0987403	0.12939	0.11736	0.0966911	0.160742	0.0419223	0.0357555	0.0235938	0.0190207	0.0332146	0.0640083	0.0142041	0.0635793	0.0621982	0.0263541	0.0465856	0.00911864	0.0342903	0.00888605	0.0162528	0.0267562	0.0440785	0.0437556	0.0151934	0.0362433	3.07465
220	-15730.8	-15713.8	-16.9343	0.0798334	0.0947039	0.0828246	0.102152	0.0928431	0.0817514	0.11999	0.174584	0.1068	0.132814	0.0690363	0.0912037	0.0943451	0.0803	0.0940304	0.122212	0.0619964	0.0842274	0.109543	0.133083	0.116382	0.0982425	0.135419	0.0540823	0.0414336	0.033315	0.0252981	0.0212545	0.0482516	0.0214473	0.0687005	0.0697785	0.0406152	0.0503493	0.0111804	0.031603	0.0131226	0.0244373	0.0364017	0.051287	0.0533388	0.0247701	0.0326989	3.11168
230	-15731.6	-15714.3	-17.2887	0.101333	0.114951	0.107804	0.103984	0.0785411	0.0725016	0.141604	0.159435	0.129464	0.11915	0.0759045	0.0815222	0.0883707	0.0873864	0.0834255	0.121223	0.0526938	0.0785492	0.0830527	0.127207	0.118098	0.0958136	0.147086	0.0648942	0.0501922	0.0402376	0.0209021	0.0281666	0.0548929	0.0181766	0.0726491	0.0525021	0.0349116	0.0334652	0.0139814	0.0401273	0.0263847	0.0316983	0.0410454	0.0353071	0.0568201	0.0344393	0.0272257	3.14712
240	-15724.2	-15708.8	-15.499	0.0873328	0.114951	0.0823729	0.0998798	0.0681488	0.0857665	0.103181	0.151513	0.101922	0.0992741	0.0650118	0.078426	0.100818	0.0789921	0.0903065	0.160009	0.0642551	0.0820188	0.0858805	0.135112	0.124357	0.100242	0.121758	0.0475471	0.043721	0.0251521	0.0190287	0.0198428	0.0558708	0.0177817	0.0892384	0.0479215	0.0296942	0.0284333	0.0232397	0.0355905	0.0150835	0.0322258	0.018377	0.0517386	0.0415534	0.0250125	0.0195773	2.96816
250	-15726.7	-15709.7	-17.0681	0.0843064	0.114951	0.0997919	0.101292	0.0971092	0.059962	0.11207	0.164187	0.117695	0.123751	0.0829052	0.0793987	0.098126	0.0663293	0.0890081	0.141591	0.0604022	0.0784756	0.0995994	0.139822	0.102524	0.0955903	0.158153	0.0264189	0.0513721	0.0313815	0.0282977	0.0352415	0.0673573	0.0224627	0.0824492	0.0486108	0.0363159	0.028052	0.0283575	0.0483818	0.00551971	0.0245392	0.0222235	0.0554631	0.0525825	0.0274965	0.0355009	3.12506
260	-15726.2	-15710.1	-16.0928	0.0736245	0.123103	0.09284	0.101737	0.0957918	0.0756583	0.130518	0.152903	0.10982	0.106823	0.0777142	0.0739296	0.0790235	0.0716622	0.0828184	0.128714	0.0604022	0.0867418	0.0842321	0.0965993	0.126255	0.0973846	0.144439	0.0521403	0.0422467	0.0372003	0.0213015	0.0183598	0.0618172	0.0244906	0.0669866	0.0577513	0.0403895	0.0289932	0.0266573	0.0349145	0.00529723	0.0320364	0.0428232	0.0491919	0.0453414	0.0443891	0.0224757	3.02754
270	-15725.1	-15709.1	-16.0156	0.088347	0.0990494	0.0888148	0.0980176	0.0828948	0.0828858	0.106901	0.184169	0.10982	0.110923	0.0573304	0.0915481	0.0807241	0.0699831	0.109899	0.108435	0.0647087	0.0814599	0.0993346	0.126486	0.112071	0.0983036	0.141513	0.0503456	0.0366069	0.0324998	0.020985	0.0134095	0.0571353	0.0287098	0.093232	0.0470946	0.0267786	0.0413273	0.0148371	0.0399214	0.0234381	0.0196277	0.0278604	0.0549435	0.0422241	0.0205957	0.0346269	3.01982
280	-15730.2	-15713.6	-16.5173	0.0735714	0.120022	0.0745045	0.121759	0.0947686	0.0839184	0.118517	0.182197	0.103255	0.11633	0.0942705	0.0856145	0.0899707	0.0983272	0.0936822	0.133688	0.0443433	0.0561616	0.0857008	0.126486	0.122014	0.0887904	0.141513	0.0367269	0.0573768	0.0166531	0.0342027	0.0264744	0.054535	0.0175228	0.0695944	0.0531163	0.0390728	0.0344334	0.0164295	0.0424166	0.0120666	0.0336508	0.0232452	0.0497085	0.0459927	0.0206486	0.0367132	3.06999
290	-15726.4	-15710.8	-15.5661	0.087142	0.106125	0.0934749	0.101962	0.0794716	0.0794406	0.118853	0.141331	0.103255	0.110508	0.0836181	0.0753851	0.0760955	0.065829	0.0943699	0.128119	0.0482374	0.0636218	0.119036	0.126486	0.117449	0.0798549	0.125934	0.0339524	0.0593606	0.0342257	0.0229309	0.030325	0.06685	0.0178958	0.072861	0.0551239	0.0555349	0.0438356	0.0239759	0.0379123	0.0126245	0.0179476	0.0240608	0.0420364	0.0349566	0.0408825	0.0219726	2.97486
