Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-13157.2	-13114	-43.1766	0.293063	0.323926	0.152309	0.0958997	0.160356	0.130342	0.235305	0.175376	0.369774	0.20012	0.209933	0.302149	0.106478	0.185373	0.123866	0.289826	0.271547	0.0697591	0.176805	0.138434	0.135011	0.178017	0.0827692	0.0977683	0.049098	0.100236	0.0815951	0.0626235	0.102907	0.136242	0.0982184	0.0350763	0.0205894	0.0424696	0.237861	0.0789727	0.0611726	0.0589063	0.0489823	0.118473	0.219388	0.151739	0.071387	0.0405308	0.0333477	0.221558	0.0723569	0.0143185	0.627255	0.0311646	0.00474945	0.0991101	0.583966	3.31217	0.363282	0.334719	0.103075	0.198923	6.02761
210	-13162.3	-13117.4	-44.8769	0.319929	0.267955	0.203362	0.0956737	0.178652	0.131049	0.235305	0.180398	0.377983	0.18299	0.199827	0.349401	0.0832725	0.181714	0.153924	0.329331	0.260447	0.0964491	0.247964	0.116843	0.144318	0.142966	0.119202	0.172994	0.038087	0.0783723	0.143602	0.162276	0.0555597	0.098075	0.0906362	0.0274837	0.0152676	0.0337022	0.227465	0.0521348	0.0479588	0.0880648	0.0637542	0.0653821	0.231472	0.13531	0.0791958	0.011696	0.0358263	0.206635	0.0777348	0.00813686	0.638186	0.0334809	0.00705048	0.120061	0.627801	3.24509	0.363282	0.334719	0.103075	0.198923	6.19752
220	-13171.3	-13127	-44.2949	0.293584	0.318904	0.120795	0.114865	0.19623	0.153364	0.253106	0.203065	0.314045	0.232781	0.254595	0.303157	0.0619475	0.285908	0.100954	0.285527	0.217584	0.089032	0.168691	0.111195	0.186396	0.223511	0.120017	0.169265	0.027835	0.0439281	0.073667	0.208047	0.0528714	0.105672	0.0827852	0.0181406	0.00774421	0.0545993	0.153169	0.0350368	0.0575304	0.0879962	0.0201511	0.129198	0.320508	0.131222	0.0347059	0.00989921	0.0365915	0.211049	0.0674787	0.0150387	0.651817	0.0180251	0.00478933	0.0995141	0.584869	3.31083	0.362375	0.333883	0.105315	0.198426	6.13964
230	-13160.8	-13112.9	-47.9052	0.311633	0.245326	0.157602	0.0985898	0.183733	0.13678	0.231708	0.208826	0.322811	0.242597	0.244618	0.334022	0.0818282	0.232751	0.181461	0.379043	0.253109	0.0602078	0.179828	0.167355	0.194877	0.282888	0.101847	0.124593	0.0205144	0.0329835	0.124222	0.16352	0.107157	0.105903	0.102277	0.0860946	0.00513104	0.0431408	0.223096	0.0923207	0.0877643	0.0867582	0.0570896	0.117875	0.248725	0.0963842	0.0377783	0.0154515	0.0347152	0.228938	0.0640187	0.0142676	0.618394	0.0396667	0.00628627	0.11357	0.614831	3.26531	0.349102	0.34658	0.0983466	0.205972	6.50059
240	-13155.3	-13107	-48.2152	0.29988	0.306639	0.160084	0.0927398	0.199667	0.113888	0.310612	0.262458	0.460981	0.229685	0.201946	0.30356	0.107086	0.212795	0.139745	0.291511	0.282179	0.0573998	0.22088	0.163185	0.171695	0.21685	0.106718	0.157927	0.0300553	0.0758444	0.132145	0.170237	0.0874148	0.0993169	0.0809819	0.0365788	0.0122258	0.0424315	0.288421	0.0515701	0.0609027	0.0607603	0.0440235	0.0988838	0.181489	0.161677	0.013703	0.029886	0.0346663	0.228615	0.0639284	0.0156575	0.617522	0.0396108	0.00528561	0.104402	0.595602	3.29471	0.361811	0.3381	0.086618	0.21347	6.52878
250	-13149.7	-13093.8	-55.9391	0.29988	0.311081	0.160726	0.114266	0.20529	0.125929	0.257241	0.256529	0.343034	0.229685	0.290915	0.377764	0.170472	0.256117	0.184593	0.348565	0.372354	0.0820544	0.260097	0.189954	0.198424	0.20004	0.119392	0.159864	0.052829	0.0827213	0.0815394	0.159836	0.0924975	0.123069	0.0984076	0.0550115	0.00778782	0.0682279	0.322355	0.0717434	0.107554	0.0518942	0.0549882	0.126234	0.240094	0.166102	0.066406	0.0574904	0.0344995	0.227515	0.0600937	0.0155822	0.614552	0.0477579	0.00528561	0.104402	0.595602	3.29471	0.361811	0.3381	0.086618	0.21347	7.30117
260	-13157.5	-13097.7	-59.8307	0.29988	0.293528	0.175877	0.119978	0.296265	0.130606	0.308593	0.322722	0.465083	0.282074	0.371023	0.376472	0.104846	0.265904	0.177937	0.407743	0.247248	0.0387823	0.213783	0.169151	0.17729	0.24471	0.128584	0.212886	0.0144695	0.0625367	0.0697824	0.274708	0.10199	0.102865	0.047788	0.0296308	0.0193488	0.0894366	0.250913	0.1251	0.0796664	0.113759	0.1009	0.159045	0.162477	0.19583	0.0793276	0.0793357	0.036916	0.204262	0.0486146	0.0120267	0.657598	0.0405824	0.00528561	0.104402	0.595602	3.29471	0.372718	0.331022	0.0872587	0.209001	7.68999
270	-13147.6	-13098	-49.6122	0.29988	0.281678	0.161741	0.0819456	0.199987	0.0932682	0.248985	0.216502	0.397554	0.30361	0.194007	0.344931	0.0950483	0.247532	0.180836	0.332801	0.218756	0.0383493	0.247148	0.153413	0.173614	0.258909	0.096817	0.176794	0.0198067	0.0884227	0.0934902	0.279182	0.0772544	0.0683955	0.0719165	0.0469067	0.0198696	0.0455437	0.204865	0.0649143	0.0783868	0.104268	0.039847	0.105931	0.246585	0.157699	0.0600565	0.051081	0.0391255	0.231212	0.0455122	0.00578	0.624015	0.0543558	0.00528561	0.104402	0.595602	3.29471	0.370355	0.328924	0.0930438	0.207677	6.66865
280	-13152.1	-13106.4	-45.7643	0.298996	0.261819	0.167322	0.143927	0.20216	0.116595	0.202542	0.216502	0.308382	0.228048	0.23893	0.299949	0.0846035	0.211522	0.156081	0.399933	0.251998	0.0374066	0.163305	0.147535	0.134887	0.190499	0.100907	0.0982914	0.0438294	0.11123	0.115212	0.175999	0.0843023	0.0865669	0.10608	0.0454062	0.0342208	0.0358209	0.22868	0.029439	0.073668	0.0736591	0.0929401	0.135177	0.174233	0.207092	0.0414728	0.0288048	0.0381396	0.242945	0.0443654	0.0132727	0.608291	0.0529862	0.00521425	0.103715	0.594114	3.29696	0.356191	0.35459	0.0894853	0.199734	6.28698
290	-13144.5	-13102.3	-42.2202	0.334022	0.272671	0.170207	0.108339	0.157822	0.138903	0.173912	0.184583	0.322845	0.166686	0.215922	0.319416	0.131272	0.19693	0.153451	0.299705	0.215854	0.0362782	0.199497	0.100124	0.127721	0.164735	0.143272	0.145942	0.0283633	0.0735381	0.113136	0.191107	0.0895181	0.060969	0.0455707	0.0399949	0.0293566	0.0352555	0.241853	0.0124128	0.0399325	0.095178	0.0585822	0.174376	0.140568	0.159693	0.0617947	0.0937833	0.0346842	0.297216	0.0611902	0.0109926	0.541146	0.0547706	0.0084565	0.131091	0.648754	3.2117	0.350422	0.353605	0.0861008	0.209872	5.93107
